title,author,journal,number,cites,year,cid,pubid,scholar_name,scholar_id
"Trading bit, message, and time complexity of distributed algorithms","J Schneider, R Wattenhofer",International Symposium on Distributed Computing,51-65,26,2011,13514477288292287120,4hFrxpcac9AC,Roger Wattenhofer,EG3VPm4AAAAJ
Provably powerful graph neural networks for directed multigraphs,"B Egressy, L Von Niederhäusern, J Blanuša, E Altman, R Wattenhofer, ...",Proceedings of the AAAI Conference on Artificial Intelligence,"38 (10), 11838 …",25,2024,13838551572763396,eLRq4zTgah0C,Roger Wattenhofer,EG3VPm4AAAAJ
Beyond prompting: Making pre-trained language models better zero-shot learners by clustering representations,"Y Fei, P Nie, Z Meng, R Wattenhofer, M Sachan",arXiv preprint arXiv:,:2210.16637,25,2022,14038390894714722688,Kv9jytqXTosC,Roger Wattenhofer,EG3VPm4AAAAJ
Cyclic arbitrage in decentralized exchange markets,"Y Wang, Y Chen, S Deng, R Wattenhofer",,1st Workshop on Decentralized Finance (DeFi 2021),25,2021,4656977890926301831,rCzfLUpcSPoC,Roger Wattenhofer,EG3VPm4AAAAJ
Timelocked bribing,"T Nadahalli, M Khabbazian, R Wattenhofer",Financial Cryptography and Data Security:,"25th International Conference, FC …",25,2021,17170236960088582338,U5uP8zs9lfgC,Roger Wattenhofer,EG3VPm4AAAAJ
Social audio features for advanced music retrieval interfaces,"M Kuhn, R Wattenhofer, S Welten",Proceedings of the,"18th ACM international conference on Multimedia, 411-420",25,2010,15641832946995579579,epqYDVWIO7EC,Roger Wattenhofer,EG3VPm4AAAAJ
Bounds on contention management algorithms,"J Schneider, R Wattenhofer",International Symposium on Algorithms and Computation,441-451,25,2009,8797895623029036762,fPk4N6BV_jEC,Roger Wattenhofer,EG3VPm4AAAAJ
Ordered multicast and distributed swap,"M Herlihy, S Tirthapura, R Wattenhofer",ACM SIGOPS Operating Systems Review,"35 (1), 85-96",25,2001,9646545164594320265,g5m5HwL7SMYC,Roger Wattenhofer,EG3VPm4AAAAJ
Fault-tolerant ANTS,"T Langner, J Uitto, D Stolz, R Wattenhofer",International Symposium on Distributed Computing,31-45,24,2014,10653798309082686123,raTqNPD5sRQC,Roger Wattenhofer,EG3VPm4AAAAJ
Distributed algorithms for sensor networks,"C Lenzen, R Wattenhofer","Philosophical Transactions of the Royal Society A: Mathematical, Physical …",,24,2012,3701816518145665496,anf4URPfarAC,Roger Wattenhofer,EG3VPm4AAAAJ
Directed graph exploration,"KT Förster, R Wattenhofer",Principles of Distributed Systems:,"16th International Conference, OPODIS …",24,2012,16898574660886442296,7Hz3ACDFbsoC,Roger Wattenhofer,EG3VPm4AAAAJ
The price of malice: A game-theoretic framework for malicious behavior in distributed systems,"T Moscibroda, S Schmid, R Wattenhofer",Internet Mathematics,"6 (2), 125-155",24,2009,7836249744068557384,q3CdL3IzO_QC,Roger Wattenhofer,EG3VPm4AAAAJ
Efficient adaptive collect using randomization,"H Attiya, F Kuhn, CG Plaxton, M Wattenhofer, R Wattenhofer",Distributed Computing,"18, 179-188",24,2006,381786053852611189,1sJd4Hv_s6UC,Roger Wattenhofer,EG3VPm4AAAAJ
The economics of automated market makers,"R Frtisch, S Käser, R Wattenhofer",Proceedings of the,4th ACM Conference on Advances in Financial Technologies …,23,2022,3080623014158520485,mgoTDWlsYNUC,Roger Wattenhofer,EG3VPm4AAAAJ
Agent-based graph neural networks,"K Martinkus, PA Papp, B Schesch, R Wattenhofer",arXiv preprint arXiv:,:2206.11010,23,2022,590003782233259466,e0LTWoPxLYMC,Roger Wattenhofer,EG3VPm4AAAAJ
From web to map: Exploring the world of music,"O Goussevskaia, M Kuhn, M Lorenzi, R Wattenhofer",,2008 IEEE/WIC/ACM International Conference on Web Intelligence and …,23,2008,588353943389380324,uWQEDVKXjbEC,Roger Wattenhofer,EG3VPm4AAAAJ
Multidimensional approximate agreement with asynchronous fallback,"D Ghinea, CD Liu-Zhang, R Wattenhofer",Proceedings of the,35th ACM Symposium on Parallelism in Algorithms and …,22,2023,15303644178400988375,JavbeY_VQWIC,Roger Wattenhofer,EG3VPm4AAAAJ
Abc: Asynchronous blockchain without consensus,"J Sliwinski, R Wattenhofer",arXiv preprint arXiv:,:1909.10926,22,2019,15202384687818159165,cB__R-XWw9UC,Roger Wattenhofer,EG3VPm4AAAAJ
On local fixing,"M König, R Wattenhofer",International Conference On Principles Of Distributed Systems,191-205,22,2013,13123442814422852829,1yWc8FF-_SYC,Roger Wattenhofer,EG3VPm4AAAAJ
Distributed coloring depending on the chromatic number or the neighborhood growth,"J Schneider, R Wattenhofer",International Colloquium on Structural Information and Communication …,,22,2011,12021258865042075396,1yQoGdGgb4wC,Roger Wattenhofer,EG3VPm4AAAAJ
Decoding code on a sensor node,"P von Rickenbach, R Wattenhofer",International Conference on Distributed Computing in Sensor Systems,400-414,22,2008,17691290944218079054,738O_yMBCRsC,Roger Wattenhofer,EG3VPm4AAAAJ
Distributed asymmetric verification in computational grids,"M Kuhn, S Schmid, R Wattenhofer",,"2008 IEEE International Symposium on Parallel and Distributed Processing, 1-10",22,2008,9108657619421554571,fQNAKQ3IYiAC,Roger Wattenhofer,EG3VPm4AAAAJ
Topology control made practical: Increasing the performance of source routing,"N Burri, P von Rickenbach, R Wattenhofer, Y Weber",International Conference on Mobile Ad-Hoc and Sensor Networks,1-12,22,2006,7588928334296566606,tS2w5q8j5-wC,Roger Wattenhofer,EG3VPm4AAAAJ
Efficient and scalable graph generation through iterative local expansion,"A Bergmeister, K Martinkus, N Perraudin, R Wattenhofer",arXiv preprint arXiv:,:2312.11529,21,2023,1056667947435683956,Amrzk_ktLr0C,Roger Wattenhofer,EG3VPm4AAAAJ
Debt swapping for risk mitigation in financial networks,"PA Papp, R Wattenhofer",Proceedings of the,"22nd ACM Conference on Economics and Computation, 765-784",21,2021,"12878812812449723775,18005606152843176817",o9ULDYDKYbIC,Roger Wattenhofer,EG3VPm4AAAAJ
Scheduling wireless links with successive interference cancellation,"O Goussevskaia, R Wattenhofer",,2012 21st International Conference on Computer Communications and Networks …,21,2012,12611403978447399910,2tRrZ1ZAMYUC,Roger Wattenhofer,EG3VPm4AAAAJ
Eight Open Problems in Distributed Computing.,"J Aspnes, C Busch, S Dolev, P Fatourou, C Georgiou, AA Shvartsman, ...",Bull. EATCS,"90, 109-126",21,2006,4644797299094849911,u-coK7KVo8oC,Roger Wattenhofer,EG3VPm4AAAAJ
Defi lending during the merge,"L Heimbach, E Schertenleib, R Wattenhofer",arXiv preprint arXiv:,:2303.08748,20,2023,14416722898351440838,0Kh4an1R61UC,Roger Wattenhofer,EG3VPm4AAAAJ
Directed beam search: Plug-and-play lexically constrained language generation,"D Pascual, B Egressy, F Bolli, R Wattenhofer",arXiv preprint arXiv:,:2012.15416,20,2020,5004257865027742668,vjZqxyZ7hS4C,Roger Wattenhofer,EG3VPm4AAAAJ
Brain2word: decoding brain activity for language generation,"N Affolter, B Egressy, D Pascual, R Wattenhofer",arXiv preprint arXiv:,:2009.04765,20,2020,11497198181732962841,cdwqcPQS8ssC,Roger Wattenhofer,EG3VPm4AAAAJ
Payment networks as creation games,"G Avarikioti, R Scheuner, R Wattenhofer","Data Privacy Management, Cryptocurrencies and Blockchain Technology: ESORICS …",,20,2019,17280033227504943,Tfl4UtY-dJUC,Roger Wattenhofer,EG3VPm4AAAAJ
Algorithmic channel design,"G Avarikioti, Y Wang, R Wattenhofer",,"29th International Symposium on Algorithms and Computation (ISAAC 2018), 16 …",20,2018,18297398379368139638,E7VqQtBCVmcC,Roger Wattenhofer,EG3VPm4AAAAJ
Scheduling with interference decoding: Complexity and algorithms,"O Goussevskaia, R Wattenhofer",Ad hoc networks,"11 (6), 1732-1745",20,2013,1715658916018666666,IaI1MmNe2tcC,Roger Wattenhofer,EG3VPm4AAAAJ
Time-optimal information exchange on multiple channels,"S Holzer, YA Pignolet, J Smula, R Wattenhofer",Proceedings of the,7th ACM ACM SIGACT/SIGMOBILE International Workshop on …,20,2011,1711472688422958230,kzcrU_BdoSEC,Roger Wattenhofer,EG3VPm4AAAAJ
Theoretical aspects of connectivity-based multi-hop positioning,"R O’Dell, R Wattenhofer",Theoretical Computer Science,"344 (1), 47-68",20,2005,17542393143187256038,zA6iFVUQeVQC,Roger Wattenhofer,EG3VPm4AAAAJ
Fast and simple algorithms for weighted perfect matching,"M Wattenhofer, R Wattenhofer",Electronic Notes in Discrete Mathematics,"17, 285-291",20,2004,8024022628241736012,5Ul4iDaHHb8C,Roger Wattenhofer,EG3VPm4AAAAJ
Clippee: A large-scale client/peer system,"K Albrecht, R Arnold, R Wattenhofer","Technical Report/ETH Zurich, Department of Computer Science",410,20,2003,3419439406095308144,pyW8ca7W8N0C,Roger Wattenhofer,EG3VPm4AAAAJ
Aircraft fingerprinting using deep learning,"A Nicolussi, S Tanner, R Wattenhofer",,"2020 28th European Signal Processing Conference (EUSIPCO), 740-744",19,2021,6140702929830444146,XtJa11BXPS4C,Roger Wattenhofer,EG3VPm4AAAAJ
Sequential defaulting in financial networks,"PA Papp, R Wattenhofer",arXiv preprint arXiv:,:2011.10485,19,2020,"17086946999601530350,15847107900671525799",5rMqqAh47xYC,Roger Wattenhofer,EG3VPm4AAAAJ
Normalized attention without probability cage,"O Richter, R Wattenhofer",arXiv preprint arXiv:,:2005.09561,19,2020,6746827621677936440,HqhvjgTjE9cC,Roger Wattenhofer,EG3VPm4AAAAJ
Byzantine preferential voting,"D Melnyk, Y Wang, R Wattenhofer",International Conference on Web and Internet Economics,327-340,19,2018,15453174143569436446,9NZAP19TdFAC,Roger Wattenhofer,EG3VPm4AAAAJ
Augmenting flows for the consistent migration of multi-commodity single-destination flows in sdns,"S Brandt, KT Foerster, R Wattenhofer",Pervasive and Mobile Computing,"36, 134-150",19,2017,17752286988621966681,8dzOF9BpDQoC,Roger Wattenhofer,EG3VPm4AAAAJ
Exploring and improving BitTorrent topologies,"C Decker, R Eidenbenz, R Wattenhofer",IEEE P,"P2P 2013 Proceedings, 1-10",19,2013,13180711423898056371,CB2v5VPnA5kC,Roger Wattenhofer,EG3VPm4AAAAJ
Hidden communication in p2p networks steganographic handshake and broadcast,"R Eidenbenz, T Locher, R Wattenhofer",,"2011 Proceedings IEEE INFOCOM, 954-962",19,2011,"5521084933046657629,9988482447619104546",-FonjvnnhkoC,Roger Wattenhofer,EG3VPm4AAAAJ
YETI: an Eclipse plug-in for TinyOS 2.1,"N Burri, R Flury, S Nellen, B Sigg, P Sommer, R Wattenhofer",proceedings of the,7th ACM conference on embedded networked sensor systems …,19,2009,14978900790382290297,JoZmwDi-zQgC,Roger Wattenhofer,EG3VPm4AAAAJ
Modeling replica placement in a distributed file system: Narrowing the gap between analysis and simulation,"JR Douceur, RP Wattenhofer",European Symposium on Algorithms,356-367,19,2001,9375503172455195602,abG-DnoFyZgC,Roger Wattenhofer,EG3VPm4AAAAJ
DISCO-10M: A large-scale music dataset,"L Lanzendörfer, F Grötschla, E Funke, R Wattenhofer",Advances in Neural Information Processing Systems,"36, 54451-54471",18,2023,3460597260276427910,XUAslYVNQLQC,Roger Wattenhofer,EG3VPm4AAAAJ
Byzantine agreement with unknown participants and failures,"P Khanchandani, R Wattenhofer",,2021 IEEE international parallel and distributed processing symposium (IPDPS …,18,2021,1426991691168957517,Ul_CLA4dPeMC,Roger Wattenhofer,EG3VPm4AAAAJ
Synthetic epileptic brain activities using generative adversarial networks,"D Pascual, A Aminifar, D Atienza, P Ryvlin, R Wattenhofer",arXiv preprint arXiv:,:1907.10518,18,2019,7555456887198453032,1EqfMoDn7-AC,Roger Wattenhofer,EG3VPm4AAAAJ
SWAN: achieving high utilization in networks,"V Gill, CY Hong, S Kandula, R Mahajan, M Nanduri, RP Wattenhofer, ...",US Patent,"8,977,756",18,2015,9475086146123335294,rbm3iO8VlycC,Roger Wattenhofer,EG3VPm4AAAAJ
Principles of distributed computing,R Wattenhofer,"Lecture Notes, www. dcg. ethz. ch/lectures/ss",s05/distcomp/lecture/chapter2. pdf,18,2014,975236888104372223,dQ2og3OwTAUC,Roger Wattenhofer,EG3VPm4AAAAJ
ALPS: Authenticating live peer-to-peer live streams,"R Meier, R Wattenhofer",,"2008 Symposium on Reliable Distributed Systems, 45-52",18,2008,7151141524339196976,olpn-zPbct0C,Roger Wattenhofer,EG3VPm4AAAAJ
A blueprint for constructing peer-to-peer systems robust to dynamic worst-case joins and leaves,"F Kuhn, S Schmid, J Smit, R Wattenhofer",,"200614th IEEE International Workshop on Quality of Service, 12-19",18,2006,13017237186249098395,NhqRSupF_l8C,Roger Wattenhofer,EG3VPm4AAAAJ
YETI: A TinyOS plug-in for Eclipse,"N Burri, R Schuler, R Wattenhofer",Proceedings of the ACM Workshop on Real-World Wireless Sensor Networks …,,18,2006,10581478624641010827,u9iWguZQMMsC,Roger Wattenhofer,EG3VPm4AAAAJ
Efficient multi-word locking using randomization,"PH Ha, P Tsigas, M Wattenhofer, R Wattenhofer",Proceedings of the twenty-fourth annual ACM symposium on Principles of …,,18,2005,10918779406398531160,l7t_Zn2s7bgC,Roger Wattenhofer,EG3VPm4AAAAJ
Abstract visual reasoning enabled by language,"G Camposampiero, L Houmard, B Estermann, J Mathys, R Wattenhofer",Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern …,,17,2023,14792916568447497013,w9ZB08sdvuUC,Roger Wattenhofer,EG3VPm4AAAAJ
A tight lower bound for the capture time of the cops and robbers game,"S Brandt, Y Emek, J Uitto, R Wattenhofer",Theoretical Computer Science,"839, 143-163",17,2020,3126428595015128279,X0DADzN9RKwC,Roger Wattenhofer,EG3VPm4AAAAJ
Impatient online matching,"X Liu, Z Pan, Y Wang, R Wattenhofer",,29th International Symposium on Algorithms and Computation (ISAAC 2018) 123 …,17,2018,8336369645326139082,KI9T_ytC6pkC,Roger Wattenhofer,EG3VPm4AAAAJ
Tight bounds for delay-sensitive aggregation,"YA Oswald, S Schmid, R Wattenhofer",Proceedings of the twenty-seventh ACM symposium on Principles of distributed …,,17,2008,5033763612623072855,KxtntwgDAa4C,Roger Wattenhofer,EG3VPm4AAAAJ
The counting pyramid: an adaptive distributed counting scheme,"R Wattenhofer, P Widmayer",Journal of Parallel and Distributed Computing,"64 (4), 449-460",17,2004,"12478439662152932285,14027865281185893859",CHSYGLWDkRkC,Roger Wattenhofer,EG3VPm4AAAAJ
Join and leave in peer-to-peer systems: The DASIS approach,"K Albrecht, R Arnold, M Gähwiler, R Wattenhofer",Technical report,427,17,2003,"3002626525451656960,14206791403570710247",a0OBvERweLwC,Roger Wattenhofer,EG3VPm4AAAAJ
Resilience characteristics of the internet backbone routing infrastructure,"C Labovitz, R Wattenhofer, S Venkatachary, A Ahuja","Proceedings of the Third Information Survivability Workshop, Boston, MA",,17,2000,16754164277327351027,xtRiw3GOFMkC,Roger Wattenhofer,EG3VPm4AAAAJ
On Isotropy Calibration of Transformers,"Y Ding, K Martinkus, D Pascual, S Clematide, R Wattenhofer",Proceedings of the Third Workshop on Insights from Negative Results in NLP,1-9,16,2022,555685453243551744,qwOXE0mbtu4C,Roger Wattenhofer,EG3VPm4AAAAJ
TreeConnect: A sparse alternative to fully connected layers,"O Richter, R Wattenhofer",,2018 IEEE 30th International Conference on Tools with Artificial …,16,2018,13273209391216953374,aDl3D7KC1E4C,Roger Wattenhofer,EG3VPm4AAAAJ
"Local checkability, no strings attached","KT Förster, T Luedi, J Seidel, R Wattenhofer",Proceedings of the,17th International Conference on Distributed Computing …,16,2016,8334613949307570615,CYCckWUYoCcC,Roger Wattenhofer,EG3VPm4AAAAJ
dJay: Enabling high-density multi-tenancy for cloud gaming servers with dynamic cost-benefit GPU load balancing,"S Grizan, D Chu, A Wolman, R Wattenhofer",Proceedings of the sixth ACM symposium on cloud computing,58-70,16,2015,10516666404957497194,sA9dB-pw3HoC,Roger Wattenhofer,EG3VPm4AAAAJ
Topological implications of selfish neighbor selection in unstructured peer-to-peer networks,"T Moscibroda, S Schmid, R Wattenhofer",Algorithmica,"61, 419-446",16,2011,9683831962686938706,XD-gHx7UXLsC,Roger Wattenhofer,EG3VPm4AAAAJ
Sensing dance engagement for collaborative music control,"M Kuhn, R Wattenhofer, M Wirz, M Fluckiger, G Troster",,"2011 15th Annual International Symposium on Wearable Computers, 51-54",16,2011,3226933193833860727,_Re3VWB3Y0AC,Roger Wattenhofer,EG3VPm4AAAAJ
Distributed selection: a missing piece of data aggregation,"F Kuhn, T Locher, R Wattenhofer",Communications of the ACM,"51 (9), 93-99",16,2008,365141110631976605,wbdj-CoPYUoC,Roger Wattenhofer,EG3VPm4AAAAJ
Lost in space or positioning in sensor networks,"M O’Dell, R O’Dell, M Wattenhofer, R Wattenhofer",REALWSN,"5, 20-21",16,2005,11677309000188194771,SP6oXDckpogC,Roger Wattenhofer,EG3VPm4AAAAJ
Optimus: warming serverless ml inference via inter-function model transformation,"Z Hong, J Lin, S Guo, S Luo, W Chen, R Wattenhofer, Y Yu",Proceedings of the Nineteenth European Conference on Computer Systems,1039-1053,15,2024,5109082914969151157,plAW456RD7MC,Roger Wattenhofer,EG3VPm4AAAAJ
Dava: Disentangling adversarial variational autoencoder,"B Estermann, R Wattenhofer",arXiv preprint arXiv:,:2303.01384,15,2023,3314903623643304707,7XUxBq3GufIC,Roger Wattenhofer,EG3VPm4AAAAJ
Fedhql: Federated heterogeneous q-learning,"FX Fan, Y Ma, Z Dai, C Tan, BKH Low, R Wattenhofer",arXiv preprint arXiv:,:2301.11135,15,2023,18254854056488558992,K-tzbvM8PMoC,Roger Wattenhofer,EG3VPm4AAAAJ
A note on optimal fees for constant function market makers,R Fritsch,Proceedings of the,2021 ACM CCS Workshop on Decentralized Finance and …,15,2021,16758289342476925703,vofGIMt6cyEC,Roger Wattenhofer,EG3VPm4AAAAJ
Bert is robust! a case against synonym-based adversarial examples in text classification,"J Hauser, Z Meng, D Pascual, R Wattenhofer",arXiv preprint arXiv:,:2109.07403,15,2021,7413124630777333606,cOfwuRB03ygC,Roger Wattenhofer,EG3VPm4AAAAJ
Of non-linearity and commutativity in bert,"S Zhao, D Pascual, G Brunner, R Wattenhofer",,"2021 International Joint Conference on Neural Networks (IJCNN), 1-8",15,2021,8831858655167977216,_IsBomjs8bsC,Roger Wattenhofer,EG3VPm4AAAAJ
Wireless network algorithmics,"MM Halldórsson, R Wattenhofer",Computing and Software Science: State of the Art and Perspectives,141-160,15,2019,1986668490504616647,cSdaV2aYdYsC,Roger Wattenhofer,EG3VPm4AAAAJ
Byzantine agreement with interval validity,"D Melnyk, R Wattenhofer",,"2018 IEEE 37th Symposium on Reliable Distributed Systems (SRDS), 251-260",15,2018,10708556027186485688,QaSi33NTfwYC,Roger Wattenhofer,EG3VPm4AAAAJ
Maintaining constructive interference using well-synchronized sensor nodes,"M König, R Wattenhofer",,2016 International Conference on Distributed Computing in Sensor Systems …,15,2016,4103858394457612446,MIg0yeAD4ggC,Roger Wattenhofer,EG3VPm4AAAAJ
Time lower bounds for distributed distance oracles,"T Izumi, R Wattenhofer",International Conference on Principles of Distributed Systems,60-75,15,2014,16959346856557539336,2l5NCbZemmgC,Roger Wattenhofer,EG3VPm4AAAAJ
Computability in anonymous networks: Revocable vs. irrecovable outputs,"Y Emek, J Seidel, R Wattenhofer","Automata, Languages, and Programming:","41st International Colloquium, ICALP …",15,2014,5312084775941010927,pAkWuXOU-OoC,Roger Wattenhofer,EG3VPm4AAAAJ
A peer activity study in edonkey & kad,"T Locher, D Mysicka, S Schmid, R Wattenhofer",,,15,2009,8059488588566847957,WqliGbK-hY8C,Roger Wattenhofer,EG3VPm4AAAAJ
The layered world of scientific conferences,"M Kuhn, R Wattenhofer",Asia-Pacific web conference,81-92,15,2008,15300113301156409293,WA5NYHcadZ8C,Roger Wattenhofer,EG3VPm4AAAAJ
On interference reduction in sensor networks,"M Fussen, R Wattenhofer, A Zollinger","Technical Report/ETH Zurich, Department of Computer Science",453,15,2004,11098644053364812433,XiSMed-E-HIC,Roger Wattenhofer,EG3VPm4AAAAJ
Bailouts in financial networks,"B Egressy, R Wattenhofer",arXiv preprint arXiv:,:2106.12315,14,2021,18048482125464941992,RJNGbXJAtMsC,Roger Wattenhofer,EG3VPm4AAAAJ
Abc: Proof-of-stake without consensus,"J Sliwinski, R Wattenhofer",arXiv preprint arXiv:,:1909.10926,14,2019,9014898382346239423,feST4K8J0scC,Roger Wattenhofer,EG3VPm4AAAAJ
Receiving data hidden in music,"M Eichelberger, S Tanner, G Voirol, R Wattenhofer",Proceedings of the,20th International Workshop on Mobile Computing Systems …,14,2019,3462842269636953292,txeM2kYbVNMC,Roger Wattenhofer,EG3VPm4AAAAJ
Frequency hopping against a powerful adversary,"Y Emek, R Wattenhofer",International Symposium on Distributed Computing,329-343,14,2013,2455504183604667620,XUvXOeBm_78C,Roger Wattenhofer,EG3VPm4AAAAJ
"MALTZ, D. zUpdate: Updating data center networks with zero loss","HH Liu, X Wu, M Zhang, L Yuan, R Wattenhofer",ACM SIGCOMM Computer Communication Review,"43 (4), 411-422",14,2013,1815693088598102510,Gs1AF5H0x94C,Roger Wattenhofer,EG3VPm4AAAAJ
Demo abstract: Debugging wireless sensor network simulations with yeti and cooja,"R Huber, P Sommer, R Wattenhofer",Proceedings of the,10th ACM/IEEE international conference on information …,14,2011,6087043998324165999,i2xiXl-TujoC,Roger Wattenhofer,EG3VPm4AAAAJ
Distributed combinatorial optimization,"F Kuhn, R Wattenhofer","Technical Report/ETH Zurich, Department of Computer Science",426,14,2005,"1827197782626359814,2215308435912652572",EUQCXRtRnyEC,Roger Wattenhofer,EG3VPm4AAAAJ
Inferring AS relationships beyond counting edges,"B Huber, S Leinen, R O'Dell, R Wattenhofer",D-INFK technical report,446,14,2004,16454069436555188832,WbkHhVStYXYC,Roger Wattenhofer,EG3VPm4AAAAJ
Siamese siren: Audio compression with implicit neural representations,"LA Lanzendörfer, R Wattenhofer",arXiv preprint arXiv:,:2306.12957,13,2023,13243167476625330881,nj26e0utjpAC,Roger Wattenhofer,EG3VPm4AAAAJ
Online graph exploration on a restricted graph class: Optimal solutions for tadpole graphs,"S Brandt, KT Foerster, J Maurer, R Wattenhofer",Theoretical Computer Science,"839, 176-185",13,2020,15486760157184187770,l6Q3WhenKVUC,Roger Wattenhofer,EG3VPm4AAAAJ
Asynchronous byzantine agreement in incomplete networks,"Y Wang, R Wattenhofer",Proceedings of the,2nd ACM Conference on Advances in Financial Technologies …,13,2020,7801235116156162250,4oJvMfeQlr8C,Roger Wattenhofer,EG3VPm4AAAAJ
Synthetic epileptic brain activities using GANs,"D Pascual, A Aminifar, D Atienza, P Ryvlin, R Wattenhofer",Machine Learning for Health (ML,L4H) at NeurIPS,13,2019,14292887289857645819,gmHTDCtJMcoC,Roger Wattenhofer,EG3VPm4AAAAJ
Monaural music source separation using a resnet latent separator network,"G Brunner, N Naas, S Palsson, O Richter, R Wattenhofer",,2019 IEEE 31st International Conference on Tools with Artificial …,13,2019,15799127915027318128,qPeb-qHga9sC,Roger Wattenhofer,EG3VPm4AAAAJ
Multi-year GPS tracking using a coin cell,"M Eichelberger, F Von Hagen, R Wattenhofer",Proceedings of the,20th International Workshop on Mobile Computing Systems …,13,2019,9790928320870770644,hHIA4WEVY-EC,Roger Wattenhofer,EG3VPm4AAAAJ
A pocket guide to indoor mapping,"P Bissig, R Wattenhofer, S Welten",,"2013 10th Workshop on Positioning, Navigation and Communication (WPNC), 1-6",13,2013,7623202833093833344,WHdLCjDvYFkC,Roger Wattenhofer,EG3VPm4AAAAJ
A TCP with guaranteed performance in networks with dynamic congestion and random wireless losses,"S Schmid, R Wattenhofer",Proceedings of the,"2nd annual international workshop on Wireless internet, 9-es",13,2006,9277899853442721189,B3FOqHPlNUQC,Roger Wattenhofer,EG3VPm4AAAAJ
Algorithms for wireless sensor networks,R Wattenhofer,"Wireless Sensor Networks: Third European Workshop, EWSN","2006, Zurich …",13,2006,9731034986328735161,9Nmd_mFXekcC,Roger Wattenhofer,EG3VPm4AAAAJ
Ad-hoc and sensor networks: Worst-case vs. average-case,R Wattenhofer,International Zurich Seminar on Communications,"2004, 156-159",13,2004,3303397333445964346,p2g8aNsByqUC,Roger Wattenhofer,EG3VPm4AAAAJ
Protecting android APPS from repackaging using native code,"S Tanner, I Vogels, R Wattenhofer",Foundations and Practice of Security:,"12th International Symposium, FPS 2019 …",12,2020,15769693799546359674,NtGNdKbuCngC,Roger Wattenhofer,EG3VPm4AAAAJ
Effectively capturing attention using the capture effect,"M König, R Wattenhofer",Proceedings of the,14th ACM Conference on Embedded Network Sensor Systems CD …,12,2016,1779514046261326503,G1UMdFYMoxkC,Roger Wattenhofer,EG3VPm4AAAAJ
The spiderbat ultrasound positioning system,"G Oberholzer, P Sommer, R Wattenhofer",Proceedings of the,8th ACM Conference on Embedded Networked Sensor Systems …,12,2010,18296210206875454493,_5tno0g5mFcC,Roger Wattenhofer,EG3VPm4AAAAJ
Transactional memory: How to perform load adaption in a simple and distributed manner,"D Hasenfratz, J Schneider, R Wattenhofer",,2010 International Conference on High Performance Computing & Simulation …,12,2010,14116223255103932362,HE397vMXCloC,Roger Wattenhofer,EG3VPm4AAAAJ
Visually and acoustically exploring the high-dimensional space of music,"L Bossard, M Kuhn, R Wattenhofer",,"2009 International Conference on Computational Science and Engineering 4, 58-65",12,2009,9873392569792787519,_B80troHkn4C,Roger Wattenhofer,EG3VPm4AAAAJ
Robust live media streaming in swarms,"T Locher, R Meier, R Wattenhofer, S Schmid",Proceedings of the,18th international workshop on Network and operating …,12,2009,3314367640836220507,5ugPr518TE4C,Roger Wattenhofer,EG3VPm4AAAAJ
Towards a Theory of Peer-to-Peer Computability.,"J Giesen, R Wattenhofer, A Zollinger",SIROCCO,115-132,12,2002,10454394127313120088,eflP2zaiRacC,Roger Wattenhofer,EG3VPm4AAAAJ
Sok: Attacks on daos,"R Feichtinger, R Fritsch, L Heimbach, Y Vonlanthen, R Wattenhofer",arXiv preprint arXiv:,:2406.15071,11,2024,11389648721030847750,mo9XK3BEATIC,Roger Wattenhofer,EG3VPm4AAAAJ
GraphChef: Decision-tree recipes to explain graph neural networks,"P Müller, L Faber, K Martinkus, R Wattenhofer",The Twelfth International Conference on Learning Representations,,11,2024,5374310698404019470,h-xndbdg2koC,Roger Wattenhofer,EG3VPm4AAAAJ
Consensus on demand,"J Sliwinski, Y Vonlanthen, R Wattenhofer","International Symposium on Stabilizing, Safety, and Security of Distributed …",,11,2022,13950487416090486357,9tXw7Op4-u0C,Roger Wattenhofer,EG3VPm4AAAAJ
Grief-free atomic swaps,"T Nadahalli, M Khabbazian, R Wattenhofer",,"2022 IEEE International Conference on Blockchain and Cryptocurrency (ICBC), 1-9",11,2022,2651087481791575119,UarirCmVI0EC,Roger Wattenhofer,EG3VPm4AAAAJ
Asynchronous proof-of-stake,"J Sliwinski, R Wattenhofer","Stabilization, Safety, and Security of Distributed Systems:",23rd …,11,2021,9447338816063915788,ynsZFq2pu0MC,Roger Wattenhofer,EG3VPm4AAAAJ
Natural language multitasking: analyzing and improving syntactic saliency of hidden representations,"G Brunner, Y Wang, R Wattenhofer, M Weigelt",arXiv preprint arXiv:,:1801.06024,11,2018,17581246925311647919,xm0LlTxljI0C,Roger Wattenhofer,EG3VPm4AAAAJ
On the importance of synchronization primitives with low consensus numbers,"P Khanchandani, R Wattenhofer",Proceedings of the,19th International Conference on Distributed Computing …,11,2018,3835916474493228957,oTdOBqtIf_kC,Roger Wattenhofer,EG3VPm4AAAAJ
Overcoming obstacles with ants,"T Langner, B Keller, J Uitto, R Wattenhofer",,19th International Conference on Principles of Distributed Systems (OPODIS …,11,2016,14024016557236870779,YlPif8NxrbYC,Roger Wattenhofer,EG3VPm4AAAAJ
